index,decim_data,hann_q15,expected_window,rtl_window,error
911,329,13558,136,136,0
912,346,13583,143,143,0
913,359,13607,149,149,0
914,359,13632,149,149,0
915,357,13657,149,149,0
916,351,13682,147,147,0
917,339,13706,142,142,0
918,322,13731,135,135,0
919,299,13756,126,126,0
920,275,13781,116,116,0
921,248,13806,104,104,0
922,216,13830,91,91,0
923,185,13855,78,78,0
924,155,13880,66,66,0
925,122,13905,52,52,0
926,90,13930,38,38,0
927,60,13955,26,26,0
928,32,13980,14,14,0
929,6,14004,3,3,0
930,-18,14029,-8,-8,0
931,-37,14054,-16,-16,0
932,-54,14079,-23,-23,0
933,-65,14104,-28,-28,0
934,-70,14129,-30,-30,0
935,-76,14154,-33,-33,0
936,-74,14179,-32,-32,0
937,-69,14204,-30,-30,0
938,-63,14228,-27,-27,0
939,-53,14253,-23,-23,0
940,-41,14278,-18,-18,0
941,-27,14303,-12,-12,0
942,-15,14328,-7,-7,0
943,0,14353,0,0,0
944,17,14378,7,7,0
945,32,14403,14,14,0
946,45,14428,20,20,0
947,57,14453,25,25,0
948,66,14478,29,29,0
949,71,14503,31,31,0
950,73,14528,32,32,0
951,72,14553,32,32,0
952,68,14578,30,30,0
953,59,14603,26,26,0
954,45,14628,20,20,0
955,32,14653,14,14,0
956,12,14678,5,5,0
957,-14,14703,-6,-6,0
958,-40,14728,-18,-18,0
959,-71,14753,-32,-32,0
960,-102,14778,-46,-46,0
961,-134,14803,-61,-61,0
962,-165,14828,-75,-75,0
963,-197,14853,-89,-89,0
964,-228,14878,-104,-104,0
965,-255,14903,-116,-116,0
966,-283,14928,-129,-129,0
967,-308,14953,-141,-141,0
968,-328,14978,-150,-150,0
969,-343,15003,-157,-157,0
970,-352,15028,-161,-161,0
971,-359,15053,-165,-165,0
972,-360,15078,-166,-166,0
973,-353,15103,-163,-163,0
974,-342,15128,-158,-158,0
975,-325,15153,-150,-150,0
976,-303,15178,-140,-140,0
